Year,Month,NO2_trop_mean,N_days,SEM,Fecha_datetime
2018,7,0.00013264106240175948,27.0,1.0749045748741683e-05,2018-07-01
2018,8,0.00011193237889355475,20.0,1.0715236176420367e-05,2018-08-01
2018,9,0.0001010080728117172,20.0,1.0241582411461095e-05,2018-09-01
2018,10,0.00014574449741892604,13.0,1.5629021943196394e-05,2018-10-01
2018,11,0.00028449886188057375,20.0,3.557031441160335e-05,2018-11-01
2018,12,0.00034574197705033283,26.0,3.5292931071491634e-05,2018-12-01
2019,1,0.00029514027050386626,26.0,2.9935135755198902e-05,2019-01-01
2019,2,0.00023606585554193304,27.0,2.127535685291453e-05,2019-02-01
2019,3,0.00018492385017174974,28.0,1.5390219513007946e-05,2019-03-01
2019,4,0.00012154414820299491,24.0,9.915265437161958e-06,2019-04-01
2019,5,0.00011283361466833919,24.0,9.42344443580457e-06,2019-05-01
2019,6,9.153759399947558e-05,21.0,5.955519292855894e-06,2019-06-01
2019,7,8.220679327059916e-05,20.0,5.63531697181249e-06,2019-07-01
2019,8,0.0001201615087390554,29.0,1.1228960110710202e-05,2019-08-01
2019,9,0.0001302919024249143,20.0,1.3869389246640429e-05,2019-09-01
2019,10,0.0001281039343696936,18.0,1.779874803398356e-05,2019-10-01
2019,11,0.00021462138998080743,26.0,1.972772885225157e-05,2019-11-01
2019,12,0.00029832268570141986,27.0,2.5126178869996986e-05,2019-12-01
2020,1,0.0002551761669232699,27.0,2.1837079948605056e-05,2020-01-01
2020,2,0.00021625956475566357,28.0,1.9411112907504792e-05,2020-02-01
2020,3,0.00018519228739440204,30.0,1.58999671525097e-05,2020-03-01
2020,4,9.56684794480036e-05,27.0,5.0643584151170665e-06,2020-04-01
2020,5,8.628449691531074e-05,22.0,5.503611641850703e-06,2020-05-01
2020,6,9.578728170998502e-05,25.0,5.969175941645058e-06,2020-06-01
2020,7,0.00010996124560408252,22.0,9.868653109876395e-06,2020-07-01
2020,8,8.792489871847397e-05,18.0,1.0702714792297482e-05,2020-08-01
2020,9,9.995004802666136e-05,15.0,1.1886591125050524e-05,2020-09-01
2020,10,0.00016731191843010474,28.0,1.3918139631765476e-05,2020-10-01
2020,11,0.00024930665588746866,25.0,2.4252192244593336e-05,2020-11-01
